UTC,degrees_north,degrees_east,Celsius.weeks
2024-03-20T12:00:00Z,-14.625,145.425,5.96
2024-03-20T12:00:00Z,-14.625,145.475,5.68
2024-03-20T12:00:00Z,-14.675,145.425,6.25
2024-03-20T12:00:00Z,-14.675,145.475,5.61
2024-03-20T12:00:00Z,-14.725,145.425,6.5600000000000005
2024-03-20T12:00:00Z,-14.725,145.475,6.19
2024-03-21T12:00:00Z,-14.625,145.425,5.96
2024-03-21T12:00:00Z,-14.625,145.475,5.68
2024-03-21T12:00:00Z,-14.675,145.425,6.25
2024-03-21T12:00:00Z,-14.675,145.475,5.61
2024-03-21T12:00:00Z,-14.725,145.425,6.5600000000000005
2024-03-21T12:00:00Z,-14.725,145.475,6.19
2024-03-22T12:00:00Z,-14.625,145.425,5.96
2024-03-22T12:00:00Z,-14.625,145.475,5.68
2024-03-22T12:00:00Z,-14.675,145.425,6.11
2024-03-22T12:00:00Z,-14.675,145.475,5.61
2024-03-22T12:00:00Z,-14.725,145.425,6.4
2024-03-22T12:00:00Z,-14.725,145.475,6.04
2024-03-23T12:00:00Z,-14.625,145.425,5.96
2024-03-23T12:00:00Z,-14.625,145.475,5.68
2024-03-23T12:00:00Z,-14.675,145.425,6.11
2024-03-23T12:00:00Z,-14.675,145.475,5.61
2024-03-23T12:00:00Z,-14.725,145.425,6.4
2024-03-23T12:00:00Z,-14.725,145.475,6.04
2024-03-24T12:00:00Z,-14.625,145.425,5.96
2024-03-24T12:00:00Z,-14.625,145.475,5.68
2024-03-24T12:00:00Z,-14.675,145.425,6.11
2024-03-24T12:00:00Z,-14.675,145.475,5.61
2024-03-24T12:00:00Z,-14.725,145.425,6.4
2024-03-24T12:00:00Z,-14.725,145.475,6.04
2024-03-25T12:00:00Z,-14.625,145.425,5.96
2024-03-25T12:00:00Z,-14.625,145.475,5.68
2024-03-25T12:00:00Z,-14.675,145.425,6.11
2024-03-25T12:00:00Z,-14.675,145.475,5.61
2024-03-25T12:00:00Z,-14.725,145.425,6.4
2024-03-25T12:00:00Z,-14.725,145.475,6.04
2024-03-26T12:00:00Z,-14.625,145.425,6.11
2024-03-26T12:00:00Z,-14.625,145.475,5.84
2024-03-26T12:00:00Z,-14.675,145.425,6.11
2024-03-26T12:00:00Z,-14.675,145.475,5.76
2024-03-26T12:00:00Z,-14.725,145.425,6.4
2024-03-26T12:00:00Z,-14.725,145.475,6.04
2024-03-27T12:00:00Z,-14.625,145.425,6.29
2024-03-27T12:00:00Z,-14.625,145.475,6.03
2024-03-27T12:00:00Z,-14.675,145.425,6.2700000000000005
2024-03-27T12:00:00Z,-14.675,145.475,5.93
2024-03-27T12:00:00Z,-14.725,145.425,6.5600000000000005
2024-03-27T12:00:00Z,-14.725,145.475,6.21
2024-03-28T12:00:00Z,-14.625,145.425,6.43
2024-03-28T12:00:00Z,-14.625,145.475,6.03
2024-03-28T12:00:00Z,-14.675,145.425,6.2700000000000005
2024-03-28T12:00:00Z,-14.675,145.475,5.93
2024-03-28T12:00:00Z,-14.725,145.425,6.5600000000000005
2024-03-28T12:00:00Z,-14.725,145.475,6.21
2024-03-29T12:00:00Z,-14.625,145.425,6.43
2024-03-29T12:00:00Z,-14.625,145.475,6.03
2024-03-29T12:00:00Z,-14.675,145.425,6.2700000000000005
2024-03-29T12:00:00Z,-14.675,145.475,5.93
2024-03-29T12:00:00Z,-14.725,145.425,6.5600000000000005
2024-03-29T12:00:00Z,-14.725,145.475,6.21
2024-03-30T12:00:00Z,-14.625,145.425,6.28
2024-03-30T12:00:00Z,-14.625,145.475,5.88
2024-03-30T12:00:00Z,-14.675,145.425,6.13
2024-03-30T12:00:00Z,-14.675,145.475,5.79
2024-03-30T12:00:00Z,-14.725,145.425,6.41
2024-03-30T12:00:00Z,-14.725,145.475,6.0600000000000005
2024-03-31T12:00:00Z,-14.625,145.425,6.140000000000001
2024-03-31T12:00:00Z,-14.625,145.475,5.88
2024-03-31T12:00:00Z,-14.675,145.425,6.13
2024-03-31T12:00:00Z,-14.675,145.475,5.79
2024-03-31T12:00:00Z,-14.725,145.425,6.2700000000000005
2024-03-31T12:00:00Z,-14.725,145.475,6.0600000000000005
