"","zone","label_id"
"4057","MACKAY/CAPRICORN","21-050"
"4237","MACKAY/CAPRICORN","20-463"
"4238","MACKAY/CAPRICORN","20-466"
"4239","MACKAY/CAPRICORN","20-503"
"4240","MACKAY/CAPRICORN","20-505"
"4241","MACKAY/CAPRICORN","20-507"
"4266","MACKAY/CAPRICORN","21-070"
"4267","MACKAY/CAPRICORN","21-092"
"4268","MACKAY/CAPRICORN","20-395"
"4269","MACKAY/CAPRICORN","20-396"
"4272","MACKAY/CAPRICORN","20-399"
"4273","MACKAY/CAPRICORN","20-540"
"4292","MACKAY/CAPRICORN","21-110"
"4294","MACKAY/CAPRICORN","20-412"
"4295","MACKAY/CAPRICORN","20-423"
"4296","MACKAY/CAPRICORN","20-400"
"4297","MACKAY/CAPRICORN","20-426"
"4298","MACKAY/CAPRICORN","20-427"
"4299","MACKAY/CAPRICORN","21-113e"
"4300","MACKAY/CAPRICORN","20-418"
"4301","MACKAY/CAPRICORN","20-425"
"4302","MACKAY/CAPRICORN","20-428"
"4303","MACKAY/CAPRICORN","20-429"
"4304","MACKAY/CAPRICORN","20-431"
"4305","MACKAY/CAPRICORN","20-469"
"4317","MACKAY/CAPRICORN","20-417"
"4318","MACKAY/CAPRICORN","20-567"
"4319","MACKAY/CAPRICORN","20-569"
"4320","MACKAY/CAPRICORN","20-420"
"4321","MACKAY/CAPRICORN","20-454"
"4322","MACKAY/CAPRICORN","20-456"
"4323","MACKAY/CAPRICORN","20-461"
"4324","MACKAY/CAPRICORN","20-462"
"4325","MACKAY/CAPRICORN","20-464"
"4326","MACKAY/CAPRICORN","20-432"
"4327","MACKAY/CAPRICORN","20-576"
"4328","MACKAY/CAPRICORN","20-577"
"4329","MACKAY/CAPRICORN","20-467"
"4330","MACKAY/CAPRICORN","20-468"
"4331","MACKAY/CAPRICORN","20-470"
"4332","MACKAY/CAPRICORN","20-460"
"4333","MACKAY/CAPRICORN","20-465"
"4334","MACKAY/CAPRICORN","20-472"
"4354","MACKAY/CAPRICORN","20-616"
"4355","MACKAY/CAPRICORN","20-617"
"4356","MACKAY/CAPRICORN","20-611"
"4357","MACKAY/CAPRICORN","20-455"
"4358","MACKAY/CAPRICORN","20-502"
"4362","MACKAY/CAPRICORN","21-063"
"4363","MACKAY/CAPRICORN","21-067"
"4364","MACKAY/CAPRICORN","21-073"
"4377","MACKAY/CAPRICORN","21-059"
"4402","MACKAY/CAPRICORN","20-424"
"4403","MACKAY/CAPRICORN","20-570"
"4404","MACKAY/CAPRICORN","20-572"
"4405","MACKAY/CAPRICORN","20-574"
"4406","MACKAY/CAPRICORN","20-575"
"4429","MACKAY/CAPRICORN","20-571"
"4430","MACKAY/CAPRICORN","20-614"
"4431","MACKAY/CAPRICORN","20-618"
"4432","MACKAY/CAPRICORN","20-619"
"4454","MACKAY/CAPRICORN","21-046"
"4455","MACKAY/CAPRICORN","21-061"
"4456","MACKAY/CAPRICORN","21-155"
"4457","MACKAY/CAPRICORN","21-156"
"4458","MACKAY/CAPRICORN","21-066"
"4478","MACKAY/CAPRICORN","21-147"
"4479","MACKAY/CAPRICORN","20-501"
"4513","MACKAY/CAPRICORN","21-080"
"4514","MACKAY/CAPRICORN","21-083"
"4515","MACKAY/CAPRICORN","20-568"
"4516","MACKAY/CAPRICORN","21-025"
"4517","MACKAY/CAPRICORN","21-029"
"4550","MACKAY/CAPRICORN","21-026"
"4551","MACKAY/CAPRICORN","21-027"
"4552","MACKAY/CAPRICORN","21-048"
"4553","MACKAY/CAPRICORN","21-044"
"4554","MACKAY/CAPRICORN","21-045"
"4555","MACKAY/CAPRICORN","21-047"
"4556","MACKAY/CAPRICORN","21-133"
"4574","MACKAY/CAPRICORN","21-134"
"4575","MACKAY/CAPRICORN","20-459"
"4576","MACKAY/CAPRICORN","21-148"
"4577","MACKAY/CAPRICORN","21-149"
"4578","MACKAY/CAPRICORN","20-498"
"4579","MACKAY/CAPRICORN","20-506"
"4591","MACKAY/CAPRICORN","20-510"
"4592","MACKAY/CAPRICORN","20-504"
"4593","MACKAY/CAPRICORN","20-512"
"4594","MACKAY/CAPRICORN","21-086"
"4595","MACKAY/CAPRICORN","21-088"
"4596","MACKAY/CAPRICORN","21-081"
"4597","MACKAY/CAPRICORN","21-084"
"4598","MACKAY/CAPRICORN","21-090"
"4599","MACKAY/CAPRICORN","21-091"
"4600","MACKAY/CAPRICORN","20-393"
"4628","MACKAY/CAPRICORN","20-398"
"4629","MACKAY/CAPRICORN","21-112"
"4630","MACKAY/CAPRICORN","21-113a"
"4631","MACKAY/CAPRICORN","21-106"
"4632","MACKAY/CAPRICORN","21-107"
"4633","MACKAY/CAPRICORN","21-109"
"4634","MACKAY/CAPRICORN","21-111"
"4635","MACKAY/CAPRICORN","21-113b"
"4636","MACKAY/CAPRICORN","21-113d"
"4637","MACKAY/CAPRICORN","21-114b"
"4665","MACKAY/CAPRICORN","21-114c"
"4666","MACKAY/CAPRICORN","20-422"
"4667","MACKAY/CAPRICORN","21-049"
"4668","MACKAY/CAPRICORN","21-129"
"4669","MACKAY/CAPRICORN","21-136"
"4670","MACKAY/CAPRICORN","21-130"
"4694","MACKAY/CAPRICORN","20-491"
"4695","MACKAY/CAPRICORN","20-496"
"4696","MACKAY/CAPRICORN","21-064"
